Length,Digits,Entropy,Risky_TLD,IP_Usage,Subdomains,Hyphens,Keywords,DNS_Rec,Domain_Age,Expiry,Has_Form,Pass_Field,IFrame,Link_Ratio,HTTP_Code,SSL_Risk,label
226,99,4.780418720214831,0,0,2,1,1,1,-1,300,0,0,0,0.1,0,0,1
35,0,4.278584802350185,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
34,15,4.02085512047121,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
22,3,3.970573095811685,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
22,0,3.8796640049025943,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
54,1,3.923519854208263,0,0,1,4,1,1,-1,300,0,0,0,0.1,0,0,0
68,11,4.478637982187728,0,0,2,3,0,1,-1,300,0,0,0,0.1,0,0,0
55,0,4.173260223090579,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
81,0,4.354826393450422,0,0,3,1,0,1,-1,300,0,0,0,0.1,0,0,1
46,2,4.370963042825407,0,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,0
29,0,3.6335059949783677,0,0,0,0,1,1,-1,300,0,0,0,0.1,0,0,1
53,4,4.341430955405388,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
77,9,4.604276560586527,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
119,12,4.804740142843732,0,0,2,2,1,1,-1,300,0,0,0,0.1,0,0,1
39,0,4.038499898783001,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
86,0,4.153011373223098,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
38,2,4.543851526544547,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
221,0,4.535609461905659,0,0,3,1,1,1,-1,300,0,0,0,0.1,0,0,1
31,0,4.115486632967521,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
32,14,3.7386085007312415,0,1,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
56,0,4.231661512101756,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
40,0,3.984183719779189,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
18,2,3.57243125132212,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
23,1,3.9690016298759927,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
64,0,4.4117384298164914,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
43,2,4.266397243517744,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
25,14,3.6732696895151085,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
49,0,4.451045558224313,0,0,1,1,1,1,-1,300,0,0,0,0.1,0,0,1
88,6,4.372741166267911,0,0,0,3,0,1,-1,300,0,0,0,0.1,0,0,0
36,0,4.162573265150912,0,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,1
34,8,4.219528282299548,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
28,0,3.9946803684089085,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
31,0,3.748258310862548,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
49,0,4.05288688466662,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
41,10,4.110736992940919,0,1,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
48,1,4.045914521951839,0,0,1,0,1,1,-1,300,0,0,0,0.1,0,0,1
79,28,4.486706380814639,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
64,6,5.046569531114783,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
134,23,5.013366478972655,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
66,1,4.462520967935605,0,0,1,1,1,1,-1,300,0,0,0,0.1,0,0,1
42,0,4.139241458895649,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
84,17,4.598954816214052,0,0,1,6,0,1,-1,300,0,0,0,0.1,0,0,0
50,0,4.408367439558377,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
59,0,4.23250327925521,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
94,17,4.523061051405351,0,0,4,1,1,1,-1,300,0,0,0,0.1,0,0,1
163,23,4.721365976325059,0,0,4,0,1,1,-1,300,0,0,0,0.1,0,0,1
40,0,4.127567157116929,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
74,8,4.734338291357713,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
46,0,4.015212434638444,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
109,4,4.6341011994046655,0,0,4,1,1,1,-1,300,0,0,0,0.1,0,0,1
82,2,4.48171827049774,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
35,3,4.286146588249911,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
37,3,4.013111135723804,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
98,1,4.519082141006677,0,0,5,0,1,1,-1,300,0,0,0,0.1,0,0,1
90,4,5.0917056689036215,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
25,2,3.943465189601647,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
115,12,4.753912575117721,0,0,1,5,0,1,-1,300,0,0,0,0.1,0,0,0
93,9,4.8936446339360025,1,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
76,6,4.614520072819669,0,0,0,5,0,1,-1,300,0,0,0,0.1,0,0,0
211,85,4.918798438890009,0,0,2,1,1,1,-1,300,0,0,0,0.1,0,0,1
79,21,4.484505122697463,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
39,3,4.160420091146166,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
51,0,4.302340969796453,0,0,4,0,0,1,-1,300,0,0,0,0.1,0,0,1
35,0,4.0855880165740865,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
57,12,4.657108435065551,0,1,3,0,1,1,-1,300,0,0,0,0.1,0,0,1
33,0,4.150158513166729,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
46,0,3.978049261930908,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
64,3,4.422376767019874,0,0,2,2,0,1,-1,300,0,0,0,0.1,0,0,0
31,0,3.84888461662912,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
90,3,4.648479942104391,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
89,16,4.727163275195521,0,0,1,4,0,1,-1,300,0,0,0,0.1,0,0,0
124,10,4.789134393306859,0,0,0,14,0,1,-1,300,0,0,0,0.1,0,0,0
68,5,4.383573372677284,0,0,0,3,0,1,-1,300,0,0,0,0.1,0,0,0
158,0,4.345608664485234,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
23,1,3.9690016298759927,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
111,0,4.298336196629333,0,0,7,3,1,1,-1,300,0,0,0,0.1,0,0,1
60,6,4.405005029967606,0,0,2,2,0,1,-1,300,0,0,0,0.1,0,0,0
54,0,4.231946188135182,0,0,1,2,1,1,-1,300,0,0,0,0.1,0,0,1
38,1,4.13569955274647,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
25,1,3.843856189774725,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
265,62,5.0174208791038355,0,0,14,0,0,1,-1,300,0,0,0,0.1,0,0,1
61,8,4.651407829082432,1,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
31,3,4.058246713263736,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
30,0,3.8565647621309544,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
52,7,4.248825420922553,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
55,2,4.283531706113682,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
64,1,4.255238235582062,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
27,0,3.7541634277688805,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
35,3,3.868169717304463,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
27,0,3.8524975771041987,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
53,15,4.4961428599378355,0,1,5,0,0,1,-1,300,0,0,0,0.1,0,0,1
35,0,4.057575159678483,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
26,14,3.4783459677250406,0,1,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
29,1,3.8833374604210062,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
115,0,4.788355183662871,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
49,0,4.123004049629476,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
50,0,4.189275070710714,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
88,6,4.549826012610572,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
84,0,4.065428531219105,0,0,1,1,1,1,-1,300,0,0,0,0.1,0,0,1
58,9,4.4228897299572765,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
378,53,5.933564154393055,0,0,2,7,1,1,-1,300,0,0,0,0.1,0,0,1
38,0,3.9450386975402454,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
63,6,4.628173281282599,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
40,14,4.234183719779189,0,1,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
62,22,4.647846012649924,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
58,4,4.456529055211291,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
50,7,3.985979129983103,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
53,4,4.44039534215702,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
29,0,3.9093680639438846,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
38,4,4.4713544870139295,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
32,0,3.792837797403416,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
28,0,4.155045546825804,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
42,0,4.159592720140252,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
78,6,4.440654585375958,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
102,0,4.649312495610629,0,0,1,0,1,1,-1,300,0,0,0,0.1,0,0,1
72,23,4.57534166879683,0,0,6,1,0,1,-1,300,0,0,0,0.1,0,0,0
38,1,4.0632025132158525,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
71,0,4.307452404079696,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
43,0,3.9057048015566527,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
46,0,4.189125478116705,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
33,3,4.187889194919351,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
166,32,4.832447605822479,0,0,13,2,1,1,-1,300,0,0,0,0.1,0,0,1
40,3,4.025070520364182,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
41,12,4.570609016654903,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
25,0,3.7034651896016473,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,1
25,0,3.943465189601647,1,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
50,3,4.555728750643391,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
52,0,4.298634852956841,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
48,4,4.349874739988984,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
61,8,4.193193388676975,0,0,2,5,0,1,-1,300,0,0,0,0.1,0,0,0
57,4,4.39621781395543,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
32,7,4.155639062229566,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
52,2,4.3567031223540305,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
69,15,4.682113088842369,0,0,0,4,0,1,-1,300,0,0,0,0.1,0,0,0
62,0,4.724537746555787,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
57,11,4.381503067617363,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
60,0,4.22973742089034,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,1
37,1,4.337435460048129,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
30,0,3.964735178725505,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
38,2,4.523986065961298,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
23,0,3.8492239123906242,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
49,0,4.175335864258457,0,0,0,2,0,1,-1,300,0,0,0,0.1,0,0,0
41,1,4.259514199528965,0,0,1,2,1,1,-1,300,0,0,0,0.1,0,0,1
70,0,4.162045918334759,0,0,1,6,0,1,-1,300,0,0,0,0.1,0,0,0
32,5,4.375,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
70,9,4.4883112820789925,0,0,3,5,0,1,-1,300,0,0,0,0.1,0,0,0
47,8,4.222052883952304,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
54,0,4.1669503547217195,0,0,2,1,0,1,-1,300,0,0,0,0.1,0,0,0
45,4,4.519087818311512,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,0
66,0,4.045706195142772,0,0,3,2,0,1,-1,300,0,0,0,0.1,0,0,0
55,7,4.443766415064717,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
31,0,3.9621031651557956,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,1
37,0,4.013111135723804,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
23,0,3.762267390651494,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,1
53,0,4.296329832281554,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
34,0,4.017917900762097,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
92,17,4.882606663549099,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,1
38,0,4.113206053476119,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
77,23,4.65019352881107,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
41,4,4.271470906740503,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
80,16,4.934306458753682,0,0,0,7,0,1,-1,300,0,0,0,0.1,0,0,0
55,1,4.4237045414690765,0,0,0,1,0,1,-1,300,0,0,0,0.1,0,0,0
36,0,4.041336376912016,0,0,2,0,0,1,-1,300,0,0,0,0.1,0,0,1
30,4,3.939572261986723,0,0,3,0,0,1,-1,300,0,0,0,0.1,0,0,0
94,13,4.620951889654241,0,0,4,1,0,1,-1,300,0,0,0,0.1,0,0,1
66,8,4.802752651145209,0,0,0,6,0,1,-1,300,0,0,0,0.1,0,0,0
25,0,3.7190795706241744,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,1
34,4,4.197325708706504,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
34,7,4.076741430173861,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
49,0,4.293708702213156,0,0,1,2,0,1,-1,300,0,0,0,0.1,0,0,1
36,0,3.951194363083223,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
83,0,4.356218425443558,0,0,2,2,0,1,-1,300,0,0,0,0.1,0,0,1
35,0,4.2430101595548555,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
35,3,4.343289445392768,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,1
52,4,4.311231430496333,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
56,0,4.456484556133594,0,0,1,1,0,1,-1,300,0,0,0,0.1,0,0,0
44,0,4.126950016748872,0,0,1,0,0,1,-1,300,0,0,0,0.1,0,0,0
47,0,4.349712458420389,0,0,0,0,0,1,-1,300,0,0,0,0.1,0,0,0
